customer_id,checkin_date,nights,country,revenue_usd
C00001,2024-01-03,6,TW,420.7
C00001,2024-01-26,6,TW,600.68
C00001,2024-02-24,4,KR,478.52
C00001,2024-02-29,4,SG,650.72
C00001,2024-04-12,5,JP,990.06
C00001,2024-05-09,4,TW,195.35
C00001,2024-05-16,7,JP,195.37
C00001,2024-08-01,4,TH,450.72
C00001,2024-08-15,7,KR,1295.63
C00001,2024-09-20,6,JP,675.25
C00001,2024-10-12,2,KR,129.11
C00001,2024-11-07,7,TH,382.43
C00001,2024-12-19,7,JP,392.76
C00001,2024-12-29,6,TW,124.03
C00001,2025-01-09,5,SG,239.01
C00001,2025-01-15,4,TW,713.84
C00001,2025-02-02,2,KR,344.97
C00001,2025-02-13,5,JP,767.59
C00001,2025-02-20,4,TH,469.62
C00002,2024-01-28,3,SG,264.9
C00002,2024-02-19,5,SG,630.99
C00002,2024-03-09,4,JP,539.36
C00002,2024-04-12,4,JP,188.57
C00002,2024-05-27,4,KR,252.49
C00002,2024-06-13,1,KR,37.41
C00002,2024-06-25,3,SG,176.1
C00002,2024-08-19,1,JP,74.08
C00002,2024-09-29,4,SG,556.79
C00002,2024-09-29,4,TH,688.45
C00002,2024-10-06,4,SG,730.82
C00002,2024-10-20,7,KR,323.28
C00002,2024-10-28,4,TH,748.09
C00002,2024-11-08,2,KR,105.0
C00002,2025-02-01,3,SG,406.45
C00003,2024-01-18,4,KR,474.3
C00003,2024-01-28,3,TH,465.72
C00003,2024-04-07,1,SG,86.99
C00003,2024-04-19,1,KR,42.12
C00003,2024-06-20,7,JP,968.78
C00003,2024-07-06,3,KR,342.82
C00003,2024-09-15,7,TH,573.71
C00003,2024-09-16,5,SG,715.32
C00003,2024-11-21,3,KR,340.31
C00003,2025-02-03,6,SG,1101.91
C00003,2025-03-18,2,TW,376.03
C00003,2025-03-24,1,JP,155.54
C00004,2024-01-07,2,SG,111.47
C00004,2024-02-09,3,TW,156.88
C00004,2024-03-03,3,SG,571.99
C00004,2024-04-15,5,TH,406.06
C00004,2024-07-10,2,TW,382.73
C00004,2024-08-09,4,TH,785.88
C00004,2024-08-21,4,SG,455.24
C00004,2024-10-13,7,KR,1075.89
C00004,2024-10-20,5,SG,483.98
C00004,2024-11-26,7,JP,658.67
C00004,2024-12-27,7,TW,226.58
C00004,2025-01-06,4,KR,454.05
C00004,2025-01-21,7,JP,456.26
C00004,2025-01-21,6,TW,850.59
C00004,2025-01-29,6,SG,799.99
C00004,2025-03-10,7,JP,559.18
C00004,2025-03-18,3,TH,169.57
C00005,2024-04-07,3,SG,513.69
C00005,2024-08-02,5,TH,643.4
C00006,2024-01-29,5,KR,787.63
C00006,2024-02-11,5,SG,756.99
C00006,2024-02-27,6,TH,1106.42
C00006,2024-03-19,5,SG,889.92
C00006,2024-03-24,7,KR,1293.7
C00006,2024-04-16,3,TH,76.36
C00006,2024-05-19,4,TH,261.99
C00006,2024-06-20,5,TW,268.75
C00006,2024-07-06,7,KR,189.12
C00006,2024-07-26,3,KR,149.65
C00006,2024-07-31,1,JP,23.79
C00006,2024-08-06,4,TW,755.61
C00006,2024-09-28,7,KR,1162.6
C00006,2024-10-13,4,JP,519.74
C00006,2024-10-16,2,TH,246.78
C00006,2024-10-27,3,TH,492.9
C00006,2024-12-01,4,SG,694.89
C00006,2024-12-10,1,TH,80.96
C00006,2025-03-14,6,TW,241.73
C00007,2024-02-27,4,JP,172.98
C00007,2024-05-17,6,JP,1073.23
C00007,2024-05-23,4,TH,493.02
C00007,2024-10-12,3,JP,389.04
C00007,2024-10-29,6,TH,834.09
C00007,2024-12-29,1,JP,168.3
C00007,2025-01-28,5,SG,394.45
C00008,2024-05-23,7,TH,1265.11
C00008,2024-11-25,2,KR,49.61
C00009,2024-03-14,5,TH,442.53
C00009,2024-03-15,6,TH,835.44
C00009,2024-04-07,5,SG,439.17
C00009,2024-04-25,3,TW,351.34
C00009,2024-06-21,3,TW,193.6
C00009,2024-07-27,2,TW,204.67
C00009,2024-09-14,5,TH,777.46
C00009,2024-10-15,6,KR,443.67
C00009,2024-10-26,2,TH,314.75
C00009,2024-10-28,7,TH,307.84
C00009,2025-02-05,6,TH,207.76
C00009,2025-02-12,6,SG,410.78
C00009,2025-03-06,6,TW,1019.42
C00009,2025-03-28,4,JP,214.74
C00010,2024-07-17,2,SG,175.13
C00011,2024-02-01,4,SG,565.42
C00011,2024-02-14,3,TW,94.67
C00011,2024-07-25,2,KR,312.69
C00011,2024-10-29,6,TH,407.54
C00011,2024-11-20,6,KR,928.2
C00011,2024-11-27,5,SG,213.17
C00011,2024-12-20,7,TH,1147.42
C00012,2024-02-10,6,TW,546.62
C00012,2024-02-29,5,SG,266.0
C00012,2024-07-03,6,TW,938.31
C00012,2024-10-17,6,TH,600.38
C00012,2024-10-20,3,KR,286.68
C00012,2024-11-24,1,KR,171.98
C00012,2024-12-27,4,SG,359.01
C00012,2025-01-19,4,JP,599.58
C00012,2025-03-04,3,TW,508.55
C00012,2025-03-30,7,JP,628.16
C00013,2024-01-14,7,TW,326.47
C00013,2024-12-12,5,TW,842.79
C00013,2025-02-26,7,KR,295.46
C00014,2024-11-05,1,TH,51.83
C00014,2025-03-26,4,KR,401.32
C00015,2024-01-15,4,JP,407.61
C00015,2024-01-31,6,TH,1194.99
C00015,2024-02-20,3,SG,554.81
C00015,2024-03-07,5,TW,454.7
C00015,2024-03-11,6,TW,254.9
C00015,2024-03-27,3,TH,331.8
C00015,2024-04-09,6,TH,310.41
C00015,2024-04-28,4,SG,428.65
C00015,2024-05-22,7,TH,984.03
C00015,2024-05-23,6,TW,689.09
